Country,Year,Yield,Pesticides,Temperature,Rainfall
Albania,1990,4368200.0,121.0,16.37,1485.0
Albania,1990,4368200.0,0.17,16.37,1485.0
Albania,1990,4368200.0,0.04,16.37,1485.0
Albania,1990,4368200.0,0.12,16.37,1485.0
Albania,1990,4368200.0,70.0,16.37,1485.0
Albania,1990,4368200.0,5.0,16.37,1485.0
Albania,1990,4368200.0,44.0,16.37,1485.0
Albania,1990,4368200.0,0.0,16.37,1485.0
Albania,1990,4368200.0,0.0,16.37,1485.0
Albania,1990,4368200.0,0.0,16.37,1485.0
Albania,1990,4368200.0,2.0,16.37,1485.0
Albania,1990,4368200.0,0.0,16.37,1485.0
Albania,1991,5665042.0,121.0,15.36,1485.0
Albania,1991,5665042.0,0.17,15.36,1485.0
Albania,1991,5665042.0,0.04,15.36,1485.0
Albania,1991,5665042.0,0.14,15.36,1485.0
Albania,1991,5665042.0,70.0,15.36,1485.0
Albania,1991,5665042.0,5.0,15.36,1485.0
Albania,1991,5665042.0,44.0,15.36,1485.0
Albania,1991,5665042.0,0.0,15.36,1485.0
Albania,1991,5665042.0,0.0,15.36,1485.0
Albania,1991,5665042.0,0.0,15.36,1485.0
Albania,1991,5665042.0,2.0,15.36,1485.0
Albania,1991,5665042.0,0.0,15.36,1485.0
Albania,1992,5960509.0,121.0,16.06,1485.0
Albania,1992,5960509.0,0.17,16.06,1485.0
Albania,1992,5960509.0,0.04,16.06,1485.0
Albania,1992,5960509.0,0.12,16.06,1485.0
Albania,1992,5960509.0,70.0,16.06,1485.0
Albania,1992,5960509.0,5.0,16.06,1485.0
Albania,1992,5960509.0,44.0,16.06,1485.0
Albania,1992,5960509.0,0.0,16.06,1485.0
Albania,1992,5960509.0,0.0,16.06,1485.0
Albania,1992,5960509.0,0.0,16.06,1485.0
Albania,1992,5960509.0,2.0,16.06,1485.0
Albania,1992,5960509.0,0.0,16.06,1485.0
Albania,1993,6008588.0,121.0,16.05,1485.0
Albania,1993,6008588.0,0.17,16.05,1485.0
Albania,1993,6008588.0,0.04,16.05,1485.0
Albania,1993,6008588.0,0.11,16.05,1485.0
Albania,1993,6008588.0,70.0,16.05,1485.0
Albania,1993,6008588.0,10.0,16.05,1485.0
Albania,1993,6008588.0,30.0,16.05,1485.0
Albania,1993,6008588.0,14.0,16.05,1485.0
Albania,1993,6008588.0,1.0,16.05,1485.0
Albania,1993,6008588.0,15.0,16.05,1485.0
Albania,1993,6008588.0,5.0,16.05,1485.0
Albania,1993,6008588.0,1.7,16.05,1485.0
Albania,1993,6008588.0,0.5,16.05,1485.0
Albania,1993,6008588.0,0.5,16.05,1485.0
Albania,1993,6008588.0,0.1,16.05,1485.0
Albania,1993,6008588.0,0.2,16.05,1485.0
Albania,1993,6008588.0,0.7,16.05,1485.0
Albania,1993,6008588.0,0.2,16.05,1485.0
Albania,1993,6008588.0,1.1,16.05,1485.0
Albania,1993,6008588.0,44.0,16.05,1485.0
Albania,1993,6008588.0,18.0,16.05,1485.0
Albania,1993,6008588.0,9.0,16.05,1485.0
Albania,1993,6008588.0,1.0,16.05,1485.0
Albania,1993,6008588.0,1.0,16.05,1485.0
Albania,1993,6008588.0,15.0,16.05,1485.0
Albania,1993,6008588.0,0.0,16.05,1485.0
Albania,1993,6008588.0,0.0,16.05,1485.0
Albania,1993,6008588.0,0.0,16.05,1485.0
Albania,1993,6008588.0,2.0,16.05,1485.0
Albania,1993,6008588.0,1.9,16.05,1485.0
Albania,1993,6008588.0,0.1,16.05,1485.0
Albania,1993,6008588.0,0.0,16.05,1485.0
Albania,1994,6585554.0,201.0,16.96,1485.0
Albania,1994,6585554.0,0.29,16.96,1485.0
Albania,1994,6585554.0,0.06,16.96,1485.0
Albania,1994,6585554.0,0.17,16.96,1485.0
Albania,1994,6585554.0,117.0,16.96,1485.0
Albania,1994,6585554.0,17.0,16.96,1485.0
Albania,1994,6585554.0,50.0,16.96,1485.0
Albania,1994,6585554.0,26.0,16.96,1485.0
Albania,1994,6585554.0,2.0,16.96,1485.0
