Country,Year,Yield,Pesticides,Temperature,Rainfall
Albania,1990,4368200.0,0.17,16.37,1485.0
Albania,1991,5665042.0,0.17,15.36,1485.0
Albania,1992,5960509.0,0.17,16.06,1485.0
Albania,1993,6008588.0,0.17,16.05,1485.0
Albania,1994,6585554.0,0.29,16.96,1485.0
Albania,1995,6557088.0,0.36,15.67,1485.0
Albania,1996,6240694.0,0.37,15.64,1485.0
Albania,1997,6133569.0,0.39,15.9,1485.0
Albania,1998,6190927.0,0.41,16.27,1485.0
Albania,1999,6093797.0,0.42,16.57,1485.0
Albania,2000,6233737.0,0.44,16.67,1485.0
Albania,2001,6401096.0,0.46,16.59,1485.0
Albania,2002,6424129.0,0.47,16.47,1485.0
Albania,2004,6955307.0,0.51,16.16,1485.0
Albania,2005,6846125.0,0.55,15.67,1485.0
Albania,2006,8223523.0,0.53,15.92,1485.0
Albania,2007,7966730.0,0.56,16.67,1485.0
Albania,2008,8245648.0,0.57,16.71,1485.0
Albania,2009,8819914.0,0.59,16.73,1485.0
Albania,2010,8547294.0,0.85,16.52,1485.0
Albania,2011,9364804.0,0.84,16.45,1485.0
Albania,2012,9872577.0,0.52,16.7,1485.0
Albania,2013,9559003.0,0.65,17.41,1485.0
Algeria,1990,2504167.0,0.75,17.48,89.0
Algeria,1991,2820538.0,0.91,16.26,89.0
Algeria,1992,3073075.0,0.48,16.27,89.0
Algeria,1993,3154480.0,0.46,17.0,89.0
Algeria,1994,3001022.0,0.51,17.88,89.0
Algeria,1995,3172234.0,0.78,17.36,89.0
Algeria,1996,3280158.0,0.27,16.76,89.0
Algeria,1997,3266377.0,0.22,17.84,89.0
Algeria,1998,3422068.0,0.18,17.14,89.0
Algeria,1999,3637072.0,0.27,17.97,89.0
Algeria,2000,3892207.0,0.31,17.9,89.0
Algeria,2001,4064700.0,0.35,18.13,89.0
Algeria,2002,4349232.0,0.38,17.85,89.0
Algeria,2004,4966354.0,0.45,17.38,89.0
Algeria,2005,4789598.0,0.34,17.19,89.0
Algeria,2006,7029305.0,0.3,18.13,89.0
Algeria,2007,4560024.0,0.42,17.42,89.0
Algeria,2008,4748874.0,0.68,17.55,89.0
Algeria,2009,5378860.0,0.38,17.78,89.0
Algeria,2010,5397676.0,0.22,17.59,89.0
Algeria,2011,5928864.0,0.9,17.79,89.0
Algeria,2012,6240085.0,1.07,17.91,89.0
Algeria,2013,6665608.0,0.98,17.65,89.0
Angola,1990,1709815.0,0.02,24.12,1010.0
Angola,1991,1716336.0,0.03,24.02,1010.0
Angola,1992,1681556.0,0.01,23.96,1010.0
Angola,1993,1695635.0,0.05,24.15,1010.0
Angola,1994,1843674.0,0.01,24.04,1010.0
Angola,1995,1889013.0,0.11,24.56,1010.0
Angola,1996,1883955.0,0.01,24.11,1010.0
Angola,1997,1880179.0,0.01,24.06,1010.0
Angola,1998,1918257.0,0.01,24.96,1010.0
Angola,1999,1890944.0,0.01,24.37,1010.0
Angola,2000,1879611.0,0.01,24.41,1010.0
Angola,2001,2000350.0,0.01,24.43,1010.0
Angola,2002,2067521.0,0.01,24.79,1010.0
Angola,2004,2111490.0,0.01,24.22,1010.0
Angola,2005,2110587.0,0.01,24.41,1010.0
Angola,2006,2153390.0,0.01,24.14,1010.0
Angola,2007,2554178.0,0.01,24.24,1010.0
Angola,2008,2421515.0,0.01,24.27,1010.0
Angola,2009,2417799.0,0.01,24.33,1010.0
Angola,2010,2427735.0,0.01,24.44,1010.0
Angola,2011,2529478.0,0.01,24.15,1010.0
Angola,2012,2249723.0,0.01,24.24,1010.0
Angola,2013,2400591.0,0.01,24.55,1010.0
Argentina,1990,6938093.0,0.95,17.46,591.0
Argentina,1990,6938093.0,0.95,17.67,591.0
Argentina,1991,7404270.0,0.94,17.64,591.0
Argentina,1991,7404270.0,0.94,17.86,591.0
Argentina,1992,7466980.0,0.94,17.09,591.0
Argentina,1992,7466980.0,0.94,17.51,591.0
Argentina,1993,7328855.0,0.94,17.32,591.0
Argentina,1993,7328855.0,0.94,17.53,591.0
Argentina,1994,7736554.0,1.08,18.17,591.0
Argentina,1994,7736554.0,1.08,18.31,591.0
Argentina,1995,8033036.0,1.35,17.74,591.0
Argentina,1995,8033036.0,1.35,17.62,591.0
Argentina,1996,7586150.0,1.93,17.64,591.0
Argentina,1996,7586150.0,1.93,17.97,591.0
Argentina,1997,8410500.0,2.74,18.29,591.0
Argentina,1997,8410500.0,2.74,18.54,591.0
Argentina,1998,8455855.0,2.19,17.23,591.0
Argentina,1998,8455855.0,2.19,17.52,591.0
Argentina,1999,8277693.0,2.57,17.15,591.0
Argentina,1999,8277693.0,2.57,17.71,591.0
Argentina,2000,8544011.0,2.94,16.98,591.0
Argentina,2000,8544011.0,2.94,17.66,591.0
Argentina,2001,8714843.0,3.31,17.71,591.0
Argentina,2001,8714843.0,3.31,18.42,591.0
Argentina,2002,8489735.0,3.67,17.58,591.0
Argentina,2002,8489735.0,3.67,18.07,591.0
Argentina,2004,8810571.0,3.9,17.67,591.0
Argentina,2004,8810571.0,3.9,18.11,591.0
Argentina,2005,9159659.0,3.99,17.32,591.0
Argentina,2005,9159659.0,3.99,17.83,591.0
Argentina,2006,9107382.0,4.09,18.1,591.0
Argentina,2006,9107382.0,4.09,18.35,591.0
Argentina,2007,8838132.0,4.92,16.71,591.0
Argentina,2007,8838132.0,4.92,17.14,591.0
Argentina,2008,8910972.0,5.55,17.71,591.0
Argentina,2008,8910972.0,5.55,18.39,591.0
Argentina,2009,8967324.0,3.95,18.16,591.0
Argentina,2009,8967324.0,3.95,18.09,591.0
Argentina,2010,8978120.0,6.04,17.33,591.0
Argentina,2010,8978120.0,6.04,17.84,591.0
Argentina,2011,9344086.0,5.57,17.58,591.0
Argentina,2011,9344086.0,5.57,17.93,591.0
Argentina,2012,8901261.0,5.32,18.18,591.0
Argentina,2012,8901261.0,5.32,18.43,591.0
Argentina,2013,9059779.0,5.25,16.45,591.0
Argentina,2013,9059779.0,5.25,16.88,591.0
Armenia,1992,3163755.0,0.02,7.44,562.0
Armenia,1993,2912284.0,0.02,7.69,562.0
Armenia,1994,3044782.0,0.05,8.84,562.0
Armenia,1995,3223020.0,0.05,9.76,562.0
Armenia,1996,3291008.0,0.06,9.55,562.0
Armenia,1997,2859704.0,0.08,9.1,562.0
Armenia,1998,3283449.0,0.1,10.28,562.0
Armenia,1999,3471772.0,0.12,10.11,562.0
Armenia,2000,2943095.0,0.14,9.68,562.0
