Year,Country,Average_Temperature,Average_Rainfall,Item,Yield,Pesticides
1990,Ghana,26.73,1187.0,Cassava,84170,65.8
1990,Ghana,26.73,1187.0,Maize,11889,65.8
1990,Ghana,26.73,1187.0,Plantains and others,61890,65.8
1990,Ghana,26.73,1187.0,"Rice, paddy",16510,65.8
1990,Ghana,26.73,1187.0,Sorghum,6310,65.8
1990,Ghana,26.73,1187.0,Yams,73451,65.8
1991,Ghana,26.6,1187.0,Cassava,106630,65.8
1991,Ghana,26.6,1187.0,Maize,15260,65.8
1991,Ghana,26.6,1187.0,Plantains and others,67914,65.8
1991,Ghana,26.6,1187.0,"Rice, paddy",15901,65.8
1991,Ghana,26.6,1187.0,Sorghum,9193,65.8
1991,Ghana,26.6,1187.0,Yams,115790,65.8
1992,Ghana,26.47,1187.0,Cassava,102591,65.8
1992,Ghana,26.47,1187.0,Maize,12040,65.8
1992,Ghana,26.47,1187.0,Plantains and others,68873,65.8
1992,Ghana,26.47,1187.0,"Rice, paddy",16499,65.8
1992,Ghana,26.47,1187.0,Sorghum,8422,65.8
1992,Ghana,26.47,1187.0,Yams,104034,65.8
1993,Ghana,26.67,1187.0,Cassava,112309,65.8
1993,Ghana,26.67,1187.0,Maize,15092,65.8
1993,Ghana,26.67,1187.0,Plantains and others,80432,65.8
1993,Ghana,26.67,1187.0,"Rice, paddy",20389,65.8
1993,Ghana,26.67,1187.0,Sorghum,10604,65.8
1993,Ghana,26.67,1187.0,Yams,131606,65.8
1994,Ghana,26.62,1187.0,Cassava,115776,65.8
1994,Ghana,26.62,1187.0,Maize,14933,65.8
1994,Ghana,26.62,1187.0,Plantains and others,80365,65.8
1994,Ghana,26.62,1187.0,"Rice, paddy",20062,65.8
1994,Ghana,26.62,1187.0,Sorghum,10825,65.8
1994,Ghana,26.62,1187.0,Yams,110256,65.8
1995,Ghana,26.87,1187.0,Cassava,119924,65.8
1995,Ghana,26.87,1187.0,Maize,15020,65.8
1995,Ghana,26.87,1187.0,Plantains and others,77059,65.8
1995,Ghana,26.87,1187.0,"Rice, paddy",20192,65.8
1995,Ghana,26.87,1187.0,Sorghum,10765,65.8
1995,Ghana,26.87,1187.0,Yams,120710,65.8
1996,Ghana,26.61,1187.0,Cassava,120392,1575.5
1996,Ghana,26.61,1187.0,Maize,15153,1575.5
1996,Ghana,26.61,1187.0,Plantains and others,79711,1575.5
1996,Ghana,26.61,1187.0,"Rice, paddy",20496,1575.5
1996,Ghana,26.61,1187.0,Sorghum,11245,1575.5
1996,Ghana,26.61,1187.0,Sweet potatoes,13596,1575.5
1996,Ghana,26.61,1187.0,Yams,127793,1575.5
1997,Ghana,26.58,1187.0,Cassava,118777,502.0
1997,Ghana,26.58,1187.0,Maize,15285,502.0
1997,Ghana,26.58,1187.0,Plantains and others,80890,502.0
1997,Ghana,26.58,1187.0,"Rice, paddy",16746,502.0
1997,Ghana,26.58,1187.0,Sorghum,10278,502.0
